CATEGORY,ARTICLE,DESCRIPTION,LAST_ACTUAL_SALES,PREDICTED_DATE,PREDICTED_SALES,GROWTH,MAE,RMSE
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",20.0,2024-01-01,9.437512515277092,-10.562487484722908,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",20.0,2024-02-01,157.1658367437667,137.1658367437667,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",20.0,2024-03-01,268.2401080146934,248.24010801469342,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",20.0,2024-04-01,32.48412264513687,12.484122645136871,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",20.0,2024-05-01,25.368818826465137,5.368818826465137,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",20.0,2024-06-01,-0.5487798970073641,-20.548779897007364,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",20.0,2024-01-01,9.437512515277092,-10.562487484722908,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",20.0,2024-02-01,157.1658367437667,137.1658367437667,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",20.0,2024-03-01,268.2401080146934,248.24010801469342,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",20.0,2024-04-01,32.48412264513687,12.484122645136871,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",20.0,2024-05-01,25.368818826465137,5.368818826465137,38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",20.0,2024-06-01,-0.5487798970073641,-20.548779897007364,38.03918946992934,40.66931007963673
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",0.0,2024-01-01,8.085727875076088,8.085727875076088,69.74381122775505,74.93445889055216
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",0.0,2024-02-01,67.47882545296136,67.47882545296136,69.74381122775505,74.93445889055216
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",0.0,2024-03-01,76.33270758754321,76.33270758754321,69.74381122775505,74.93445889055216
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",0.0,2024-04-01,-34.66842732563667,-34.66842732563667,69.74381122775505,74.93445889055216
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",0.0,2024-05-01,8.40323628932219,8.40323628932219,69.74381122775505,74.93445889055216
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",0.0,2024-06-01,117.6172868808568,117.6172868808568,69.74381122775505,74.93445889055216
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2.0,2024-01-01,2.3308942806400026,0.3308942806400026,11.929808226079617,14.403187251874893
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2.0,2024-02-01,40.86813094105243,38.86813094105243,11.929808226079617,14.403187251874893
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2.0,2024-03-01,4.127470272175291,2.127470272175291,11.929808226079617,14.403187251874893
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2.0,2024-04-01,5.656512031357415,3.6565120313574146,11.929808226079617,14.403187251874893
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2.0,2024-05-01,10.018777536469043,8.018777536469043,11.929808226079617,14.403187251874893
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",2.0,2024-06-01,14.749306768733407,12.749306768733407,11.929808226079617,14.403187251874893
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0.0,2024-01-01,0.9868336087335201,0.9868336087335201,0.5187654158086085,0.5338947208990817
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0.0,2024-02-01,1.6022253020789028,1.6022253020789028,0.5187654158086085,0.5338947208990817
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0.0,2024-03-01,1.2319959393393054,1.2319959393393054,0.5187654158086085,0.5338947208990817
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0.0,2024-04-01,1.7819212708078314,1.7819212708078314,0.5187654158086085,0.5338947208990817
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0.0,2024-05-01,1.9917653568288165,1.9917653568288165,0.5187654158086085,0.5338947208990817
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0.0,2024-06-01,-0.42463282963350224,-0.42463282963350224,0.5187654158086085,0.5338947208990817
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2.0,2024-01-01,1.6250791489543066,-0.3749208510456934,1.1956384557663742,1.4892919267594489
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2.0,2024-02-01,2.5055391913510716,0.5055391913510716,1.1956384557663742,1.4892919267594489
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2.0,2024-03-01,2.573973702328334,0.5739737023283338,1.1956384557663742,1.4892919267594489
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2.0,2024-04-01,1.320911670364907,-0.6790883296350929,1.1956384557663742,1.4892919267594489
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2.0,2024-05-01,1.4778078988399788,-0.5221921011600212,1.1956384557663742,1.4892919267594489
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),2.0,2024-06-01,1.3674229867477723,-0.6325770132522277,1.1956384557663742,1.4892919267594489
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),3.0,2024-01-01,1.640441451547005,-1.359558548452995,0.6501009264804204,0.9775092830305423
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),3.0,2024-02-01,2.359897230524229,-0.6401027694757708,0.6501009264804204,0.9775092830305423
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),3.0,2024-03-01,2.0058985364442767,-0.9941014635557233,0.6501009264804204,0.9775092830305423
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),3.0,2024-04-01,1.650108109604181,-1.349891890395819,0.6501009264804204,0.9775092830305423
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),3.0,2024-05-01,1.2235751673667445,-1.7764248326332555,0.6501009264804204,0.9775092830305423
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),3.0,2024-06-01,1.5456856594341672,-1.4543143405658328,0.6501009264804204,0.9775092830305423
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,2.0,2024-01-01,2.8204520358490743,0.8204520358490743,0.670707564688431,0.7730068944110696
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,2.0,2024-02-01,4.213512651041906,2.2135126510419063,0.670707564688431,0.7730068944110696
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,2.0,2024-03-01,6.160804833454202,4.160804833454202,0.670707564688431,0.7730068944110696
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,2.0,2024-04-01,2.2025031445525234,0.20250314455252338,0.670707564688431,0.7730068944110696
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,2.0,2024-05-01,1.970401873974589,-0.02959812602541101,0.670707564688431,0.7730068944110696
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,2.0,2024-06-01,3.9033946437368723,1.9033946437368723,0.670707564688431,0.7730068944110696
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,0.0,2024-01-01,6.765567693518512,6.765567693518512,2.8208310271005588,3.068197421780376
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,0.0,2024-02-01,5.716387247268437,5.716387247268437,2.8208310271005588,3.068197421780376
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,0.0,2024-03-01,2.8264037922535756,2.8264037922535756,2.8208310271005588,3.068197421780376
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,0.0,2024-04-01,5.400283823098592,5.400283823098592,2.8208310271005588,3.068197421780376
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,0.0,2024-05-01,17.611834769925377,17.611834769925377,2.8208310271005588,3.068197421780376
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,0.0,2024-06-01,4.794046419904834,4.794046419904834,2.8208310271005588,3.068197421780376
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,0.0,2024-01-01,-15.419522688222491,-15.419522688222491,8.392254282579705,9.569934754106525
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,0.0,2024-02-01,1.3301248420321328,1.3301248420321328,8.392254282579705,9.569934754106525
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,0.0,2024-03-01,33.00533668669316,33.00533668669316,8.392254282579705,9.569934754106525
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,0.0,2024-04-01,-27.25693260028038,-27.25693260028038,8.392254282579705,9.569934754106525
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,0.0,2024-05-01,-2.529542351012826,-2.529542351012826,8.392254282579705,9.569934754106525
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,0.0,2024-06-01,14.636670507457836,14.636670507457836,8.392254282579705,9.569934754106525
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0.0,2024-01-01,0.737656970024549,0.737656970024549,0.1546603626313219,0.17231869191700028
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0.0,2024-02-01,1.1111173818693494,1.1111173818693494,0.1546603626313219,0.17231869191700028
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0.0,2024-03-01,-0.10672587252725085,-0.10672587252725085,0.1546603626313219,0.17231869191700028
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0.0,2024-04-01,-0.14855439651183255,-0.14855439651183255,0.1546603626313219,0.17231869191700028
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0.0,2024-05-01,7.829011008847646,7.829011008847646,0.1546603626313219,0.17231869191700028
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0.0,2024-06-01,0.3486870604269149,0.3486870604269149,0.1546603626313219,0.17231869191700028
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",0.0,2024-01-01,3.7615049692939624,3.7615049692939624,5.942773566764704,6.344287794348714
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",0.0,2024-02-01,7.614421184902186,7.614421184902186,5.942773566764704,6.344287794348714
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",0.0,2024-03-01,-1.5862579301266004,-1.5862579301266004,5.942773566764704,6.344287794348714
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",0.0,2024-04-01,3.1401421593756185,3.1401421593756185,5.942773566764704,6.344287794348714
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",0.0,2024-05-01,-1.6069328472077333,-1.6069328472077333,5.942773566764704,6.344287794348714
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",0.0,2024-06-01,24.68336964296486,24.68336964296486,5.942773566764704,6.344287794348714
ELECTRICAL,TOX,PLASTIC TOX #8,100.0,2024-01-01,-65.11670101446995,-165.11670101446995,37.6807578121684,52.699841125261926
ELECTRICAL,TOX,PLASTIC TOX #8,100.0,2024-02-01,-42.099528679835004,-142.099528679835,37.6807578121684,52.699841125261926
ELECTRICAL,TOX,PLASTIC TOX #8,100.0,2024-03-01,17.709034124037334,-82.29096587596267,37.6807578121684,52.699841125261926
ELECTRICAL,TOX,PLASTIC TOX #8,100.0,2024-04-01,-23.680700439130568,-123.68070043913056,37.6807578121684,52.699841125261926
ELECTRICAL,TOX,PLASTIC TOX #8,100.0,2024-05-01,37.83215945334618,-62.16784054665382,37.6807578121684,52.699841125261926
ELECTRICAL,TOX,PLASTIC TOX #8,100.0,2024-06-01,22.998008590450326,-77.00199140954967,37.6807578121684,52.699841125261926
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",700.0,2024-01-01,289.0556898221236,-410.9443101778764,259.54793044126075,310.6430467805508
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",700.0,2024-02-01,305.41085694198136,-394.58914305801864,259.54793044126075,310.6430467805508
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",700.0,2024-03-01,331.4425884247122,-368.5574115752878,259.54793044126075,310.6430467805508
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",700.0,2024-04-01,261.7495343756214,-438.2504656243786,259.54793044126075,310.6430467805508
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",700.0,2024-05-01,213.81284397285333,-486.18715602714667,259.54793044126075,310.6430467805508
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",700.0,2024-06-01,344.87718199508953,-355.12281800491047,259.54793044126075,310.6430467805508
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-01-01,1.2081859406787665,1.2081859406787665,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-02-01,0.21894579666118788,0.21894579666118788,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-03-01,-0.08109798111000083,-0.08109798111000083,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-04-01,0.28004838913577784,0.28004838913577784,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-05-01,0.7772386052924916,0.7772386052924916,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.0,2024-06-01,-0.06734248268199383,-0.06734248268199383,0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-01-01,-0.5101912307252406,-0.5101912307252406,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-02-01,0.33574024305464345,0.33574024305464345,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-03-01,-0.24663552584818382,-0.24663552584818382,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-04-01,-0.2641846023986825,-0.2641846023986825,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-05-01,0.34341824080355327,0.34341824080355327,0.28655946891614287,0.2899438606708547
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.0,2024-06-01,0.27808566010544744,0.27808566010544744,0.28655946891614287,0.2899438606708547
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-01-01,0.008630581062533567,0.008630581062533567,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-02-01,0.06473757393802533,0.06473757393802533,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-03-01,-0.10091030171696067,-0.10091030171696067,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-04-01,0.6360108155852718,0.6360108155852718,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-05-01,-0.04962732387415336,-0.04962732387415336,0.22397377797679377,0.37477214192257124
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.0,2024-06-01,0.3475422366906651,0.3475422366906651,0.22397377797679377,0.37477214192257124
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-01-01,-1.2691752723663066,-1.2691752723663066,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-02-01,1.0375295949586238,1.0375295949586238,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-03-01,-0.5160749093500752,-0.5160749093500752,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-04-01,-0.026314986632462595,-0.026314986632462595,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-05-01,0.12376362164846033,0.12376362164846033,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.0,2024-06-01,3.470472936353726,3.470472936353726,0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-01-01,0.10589386577480064,0.10589386577480064,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-02-01,0.3641140381703199,0.3641140381703199,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-03-01,-0.28836830410601244,-0.28836830410601244,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-04-01,1.4365879580494454,1.4365879580494454,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-05-01,0.7422237380446461,0.7422237380446461,0.24718692956892033,0.2861853399768959
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.0,2024-06-01,2.6189507739677085,2.6189507739677085,0.24718692956892033,0.2861853399768959
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,52.0,2024-01-01,-1.0160601340365978,-53.0160601340366,11.679896549048193,19.61760021752872
